"","HPTS","H2PM","H3PM","HFTM","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","HL5","HALL","APTS","A2PM","A3PM","AFTM","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF","AL5","AALL","W","DIFF"
"3078",99.2807881773399,0.495366085116354,0.356853315421169,0.748619861601618,10.2709359605911,31.448275862069,23.512315270936,8.70935960591133,14.8128078817734,5.32019704433498,21.0147783251232,3,-16,95.1237623762376,0.464284522927575,0.329244440857919,0.696402367524343,10.4653465346535,31.5940594059406,21.2326732673267,8.71287128712871,16.1633663366337,5.8960396039604,21.6138613861386,4,-119,"A",-9
"3079",96.6585365853659,0.464491813073474,0.348335783410582,0.78439906589949,10.7512195121951,32.0780487804878,20.9073170731707,6.46829268292683,13.2146341463415,5.30243902439024,20.5365853658537,0,-72,102.225490196078,0.507246393772203,0.360112068191214,0.761153141757997,8.8921568627451,32.7990196078431,25.2254901960784,8.95588235294118,14.156862745098,5.22549019607843,18.2205882352941,5,59,"A",-1
"3080",102.03431372549,0.482393516939869,0.342461969025471,0.752342898941206,11.328431372549,32.6470588235294,19.9950980392157,8.20588235294118,15.5098039215686,4.25,22.4852941176471,4,-57,96.4466019417476,0.492548001491374,0.352368011688005,0.733845180601154,10.7427184466019,32.4563106796116,19.3058252427184,7.37378640776699,13.9320388349515,5.46116504854369,19.5145631067961,1,5,"A",-5
"3081",101.591133004926,0.497147840838282,0.358210968697304,0.740941669086241,9.82758620689655,33.0394088669951,23.8768472906404,8.04926108374384,14.0147783251232,4.19211822660098,20.7980295566502,3,12,104.354368932039,0.493707869389497,0.362434746303668,0.773378356256393,10.7572815533981,34.0679611650485,21.6844660194175,6.66990291262136,13.5,4.64563106796117,20.2621359223301,3,19,"H",19
"3082",99.1911764705882,0.487331061992597,0.336758708532852,0.751787236057953,10.0833333333333,32.3823529411765,21.4509803921569,7.33333333333333,14.3823529411765,4.17647058823529,18.9950980392157,0,-71,104.382352941176,0.493397286586963,0.363403761647764,0.785541942923777,10.5147058823529,31.7941176470588,19.5833333333333,7.89705882352941,11.9607843137255,4.89705882352941,20.2745098039216,1,59,"A",-10
"3083",100.747572815534,0.469305877350967,0.347855186150567,0.782212675480723,11.7864077669903,34.378640776699,21.868932038835,6.44174757281553,13.0825242718447,5.54854368932039,18.1893203883495,1,19,101.578431372549,0.496364581454845,0.345647751697586,0.774811123934613,9.44607843137255,32.0882352941176,21.7156862745098,7.48529411764706,12.2058823529412,4.05392156862745,19.5686274509804,3,7,"A",-1
"3084",98.8038277511962,0.462812451101798,0.332056638591292,0.755715153482553,11.1531100478469,32.1626794258373,19.6267942583732,7.21531100478469,13.0956937799043,4.11004784688995,20.6124401913876,0,-102,102.684729064039,0.482313594322341,0.336598152138879,0.749714639640212,11.9211822660099,32.9802955665025,22.4285714285714,7.4384236453202,14.1182266009852,4.47290640394089,21.5911330049261,1,-44,"A",-6
"3085",96.9951219512195,0.497632219592261,0.33231241257768,0.727631763970209,9.67317073170732,32.2634146341463,20.3512195121951,7.10243902439024,13.2439024390244,5.54634146341463,19.3170731707317,1,-14,106.734299516908,0.516124378207226,0.351376570964112,0.715197246277504,11.3574879227053,32.0386473429952,22.8357487922705,9.3719806763285,15.3333333333333,4.95652173913043,21.3574879227053,2,48,"H",6
"3086",103.578431372549,0.508437669054894,0.377994725896662,0.795785291306391,9.55392156862745,33.8382352941176,24.2892156862745,8.07843137254902,12.9019607843137,5.66666666666667,18.1078431372549,4,103,100.165853658537,0.481571014118029,0.330829432984354,0.78189410206576,10.9365853658537,30.4536585365854,22.4243902439024,7.94634146341463,14.2487804878049,4.32682926829268,19.9560975609756,0,-88,"H",8
"3087",103.785365853659,0.488093897682266,0.338136500401099,0.77529692020324,10.8682926829268,32.6634146341463,24.3609756097561,8.40487804878049,13.0243902439024,3.99512195121951,21.1463414634146,2,22,96.7087378640777,0.46503443139079,0.348138484984765,0.783757196225432,10.7718446601942,32.1067961165049,20.9077669902913,6.47572815533981,13.2378640776699,5.29126213592233,20.5436893203883,1,-71,"A",-11
"3088",99.6829268292683,0.466573576418994,0.338069752173354,0.771532727804715,9.42926829268293,34.6048780487805,21.3073170731707,6.59512195121951,11.4341463414634,5.31219512195122,17.8585365853659,1,-2,104.338164251208,0.493582430095267,0.362170290078492,0.773313726516024,10.7729468599034,34.0531400966184,21.6859903381643,6.66666666666667,13.5072463768116,4.64734299516908,20.2608695652174,3,18,"H",22
"3089",99.7004830917874,0.476873978316428,0.339742088776966,0.696261820147985,11.975845410628,32.9951690821256,20.512077294686,7.2463768115942,12.463768115942,4.11594202898551,18.6666666666667,2,-14,102.253658536585,0.507255391407904,0.360184692248818,0.76083362484168,8.88780487804878,32.7756097560976,25.2292682926829,8.96585365853659,14.1365853658537,5.21463414634146,18.2048780487805,4,58,"H",23
"3090",112.858536585366,0.528351684945897,0.400325382903843,0.76641533823585,9.89268292682927,35.3317073170732,28.6585365853659,8.90731707317073,14.4682926829268,6.08292682926829,20.009756097561,5,144,106.521739130435,0.505547040832237,0.337513813299121,0.755231728804935,12.5507246376812,34.7584541062802,21.5700483091787,7.38164251207729,14.5942028985507,5.58937198067633,21.1304347826087,2,44,"H",21
"3091",106.716346153846,0.516188259873085,0.350796727982406,0.715536270505565,11.3557692307692,32.0673076923077,22.8269230769231,9.36538461538461,15.3413461538462,4.94711538461539,21.3317307692308,2,49,99.3039215686274,0.49535612064683,0.356854734743334,0.748292402386993,10.2696078431373,31.4313725490196,23.5098039215686,8.70588235294118,14.7990196078431,5.31862745098039,21.0245098039216,2,-17,"H",19
"3092",100.766990291262,0.480009089590415,0.35991424632569,0.757502520780057,10.0339805825243,33.0291262135922,22.1019417475728,7.25728155339806,12.6116504854369,5.30582524271845,19.378640776699,3,-23,98.5797101449275,0.486843927730095,0.345087635959835,0.739359800968193,10.0772946859903,32.3526570048309,22.0434782608696,7.743961352657,13.5942028985507,4.61835748792271,20.2270531400966,1,-52,"H",20
"3093",95.2118226600985,0.464520535730647,0.329486479959005,0.696940067957995,10.4778325123153,31.6256157635468,21.2512315270936,8.70935960591133,16.1724137931034,5.91133004926108,21.6206896551724,4,-118,104.453658536585,0.493529728824126,0.364198454466427,0.785673445641222,10.5121951219512,31.8048780487805,19.5756097560976,7.89756097560976,11.9463414634146,4.90243902439024,20.2682926829268,1,58,"H",5
