"","SEASON","DATE","HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF"
"2596","2016-17",20161112,"MIN",105,32,67,8,22,17,21,15,24,26,11,13,3,31,"LAC",119,29,52,11,24,28,37,9,33,25,7,14,4,19
"2597","2016-17",20161112,"NOP",99,33,70,6,20,15,19,12,30,20,4,10,5,10,"LAL",126,36,64,16,30,6,7,10,37,36,8,10,5,17
"2598","2016-17",20161112,"PHX",104,32,74,8,33,16,21,17,38,23,9,12,3,20,"BKN",122,24,47,16,37,26,30,6,49,22,6,17,10,19
"2599","2016-17",20161112,"TOR",118,32,61,7,22,33,38,11,33,18,10,11,6,20,"NYK",107,37,74,7,23,12,16,17,32,19,3,16,2,23
"2600","2016-17",20161113,"CLE",100,25,54,14,38,8,15,12,41,25,3,9,8,13,"CHA",93,25,66,11,29,10,12,10,35,23,7,5,3,19
"2601","2016-17",20161113,"GSW",133,29,54,16,33,27,31,8,35,32,8,16,7,20,"PHX",120,38,66,8,24,20,26,8,30,27,10,13,3,29
"2602","2016-17",20161113,"MIN",125,29,53,13,27,28,42,9,35,28,10,10,4,19,"LAL",99,25,47,8,24,25,30,5,34,16,6,17,5,31
"2603","2016-17",20161113,"OKC",117,40,67,7,25,16,26,12,30,22,4,10,6,19,"ORL",119,35,62,11,24,16,20,8,30,24,4,9,7,20
"2604","2016-17",20161113,"POR",112,31,70,8,29,26,32,14,30,21,8,7,8,23,"DEN",105,25,62,11,29,22,29,16,43,11,4,18,6,25
"2605","2016-17",20161114,"DET",104,38,76,5,16,13,16,4,43,25,4,9,9,14,"OKC",88,28,61,5,27,17,22,13,38,16,3,15,6,21
"2606","2016-17",20161114,"HOU",115,27,51,17,40,10,17,16,39,20,6,17,10,19,"PHI",88,29,68,5,22,15,17,10,29,18,10,12,7,17
"2607","2016-17",20161114,"IND",88,27,65,8,25,10,10,7,42,22,9,9,9,14,"ORL",69,22,59,5,25,10,13,9,43,12,3,14,5,17
"2608","2016-17",20161114,"LAC",127,34,65,14,25,17,21,9,34,32,17,11,6,22,"BKN",95,24,44,10,33,17,22,9,28,18,6,21,2,21
"2609","2016-17",20161114,"NOP",106,29,58,6,21,30,36,8,38,16,9,16,4,17,"BOS",105,26,54,12,41,17,20,11,33,19,9,10,0,27
"2610","2016-17",20161114,"NYK",93,25,53,9,25,16,18,14,37,18,5,17,5,16,"DAL",77,27,57,5,27,8,11,11,29,15,8,11,7,16
"2611","2016-17",20161114,"SAS",94,25,67,8,15,20,27,14,38,24,4,17,7,15,"MIA",90,33,69,4,15,12,21,10,31,22,14,13,8,23
"2612","2016-17",20161114,"UTA",96,27,45,8,28,18,22,6,23,17,8,8,1,27,"MEM",102,28,55,8,21,22,26,14,30,13,4,16,2,26
"2613","2016-17",20161115,"CLE",121,31,50,13,33,20,28,10,36,26,4,17,7,18,"TOR",117,33,67,13,29,12,18,12,28,24,11,8,5,25
"2614","2016-17",20161115,"LAL",125,32,64,9,28,34,43,14,41,24,9,11,2,17,"BKN",118,33,58,12,41,16,20,9,38,23,8,14,6,27
"2615","2016-17",20161115,"MIA",90,29,66,7,23,11,14,17,31,13,11,23,7,23,"ATL",93,31,63,6,17,13,19,6,29,18,14,19,4,13
"2616","2016-17",20161115,"MIN",108,23,54,15,35,17,21,14,29,25,4,18,5,19,"CHA",115,32,56,11,24,18,22,4,33,25,10,13,6,17
"2617","2016-17",20161115,"POR",88,25,61,9,34,11,18,15,34,17,8,11,4,18,"CHI",113,34,78,7,20,24,28,19,48,16,7,10,4,19
"2618","2016-17",20161116,"ATL",107,25,40,10,32,27,31,3,36,29,6,16,8,17,"MIL",100,31,66,8,32,14,18,15,32,25,9,14,2,25
"2619","2016-17",20161116,"BOS",90,26,55,7,21,17,23,13,40,18,6,19,3,17,"DAL",83,26,60,8,23,7,10,5,27,16,9,9,3,19
"2620","2016-17",20161116,"DEN",120,37,76,8,17,22,24,14,35,23,8,14,4,24,"PHX",104,31,59,8,20,18,29,7,28,14,8,16,4,29
"2621","2016-17",20161116,"IND",103,33,58,10,28,7,11,5,35,22,8,10,12,16,"CLE",93,24,56,11,30,12,20,11,40,19,3,18,5,16
"2622","2016-17",20161116,"LAC",107,28,56,9,25,24,34,8,27,15,13,8,7,19,"MEM",111,25,56,15,26,16,19,9,34,24,6,15,2,22
"2623","2016-17",20161116,"NYK",105,33,68,9,25,12,19,19,33,24,8,9,9,11,"DET",102,34,62,8,23,10,12,8,32,19,6,10,1,14
"2624","2016-17",20161116,"OKC",105,28,59,12,25,13,14,5,39,25,7,16,7,15,"HOU",103,26,52,14,40,9,14,12,35,25,10,16,4,10
"2625","2016-17",20161116,"ORL",89,24,61,10,27,11,19,13,37,17,7,12,7,15,"NOP",82,23,61,7,21,15,19,9,39,19,5,17,9,16
"2626","2016-17",20161116,"PHI",109,32,49,10,28,15,22,5,36,30,6,17,1,26,"WAS",102,30,68,8,23,18,25,11,29,18,8,11,1,26
"2627","2016-17",20161116,"SAC",105,27,56,9,20,24,31,10,36,21,5,16,3,17,"SAS",110,32,58,11,30,13,17,9,28,29,11,11,7,21
"2628","2016-17",20161116,"TOR",121,27,57,10,25,37,41,13,33,16,8,14,1,22,"GSW",127,31,51,13,36,26,28,7,28,33,9,12,7,25
"2629","2016-17",20161117,"HOU",126,32,63,14,32,20,25,17,37,26,6,13,6,17,"POR",109,31,62,10,28,17,21,10,31,24,6,12,4,19
"2630","2016-17",20161117,"MIA",96,32,67,7,30,11,21,17,42,19,5,7,8,18,"MIL",73,21,62,7,23,10,13,12,36,20,4,13,8,20
"2631","2016-17",20161117,"MIN",110,37,59,6,25,18,20,14,34,18,7,13,8,19,"PHI",86,22,51,9,32,15,19,13,27,15,9,15,2,17
"2632","2016-17",20161117,"UTA",77,25,53,5,25,12,14,10,38,11,4,13,3,14,"CHI",85,28,73,5,17,14,16,14,32,8,7,8,6,16
"2633","2016-17",20161117,"WAS",119,29,56,15,25,16,18,7,30,26,7,15,2,21,"NYK",112,29,57,12,29,18,20,10,26,23,9,13,1,20
