"","SEASON","DATE","HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF"
"2461","2016-17",20161025,"CLE",117,32,59,13,35,14,19,11,40,31,12,14,5,22,"NYK",88,23,60,9,27,15,20,13,29,17,6,18,6,22
"2462","2016-17",20161025,"GSW",100,33,52,7,33,13,18,8,27,24,11,16,6,19,"SAS",129,35,74,12,24,23,26,21,34,25,13,13,3,19
"2463","2016-17",20161025,"POR",113,26,56,13,19,22,22,5,29,22,5,12,3,18,"UTA",104,32,58,8,24,16,16,6,25,19,9,11,5,19
"2464","2016-17",20161026,"BOS",122,37,57,11,32,15,18,12,35,36,13,19,9,20,"BKN",117,28,53,15,44,16,20,15,29,22,8,16,3,19
"2465","2016-17",20161026,"IND",130,37,74,10,19,26,34,8,44,30,11,16,6,23,"DAL",121,27,56,18,48,13,18,10,39,26,8,15,8,27
"2466","2016-17",20161026,"LAL",120,33,54,12,35,18,22,11,28,21,10,15,4,24,"HOU",114,37,57,7,29,19,27,10,29,29,10,14,1,23
"2467","2016-17",20161026,"MEM",102,25,56,11,24,19,27,11,34,19,6,13,11,25,"MIN",98,30,68,6,18,20,29,15,30,20,6,10,5,23
"2468","2016-17",20161026,"MIL",96,36,76,3,16,15,20,10,36,23,4,8,5,22,"CHA",107,33,66,7,23,20,24,11,40,27,5,10,10,22
"2469","2016-17",20161026,"NOP",102,35,73,3,19,23,26,5,28,31,16,11,5,29,"DEN",107,29,59,8,24,25,33,11,47,18,7,24,4,22
"2470","2016-17",20161026,"ORL",96,28,71,6,18,22,28,15,30,20,5,11,4,15,"MIA",108,43,81,4,16,10,16,16,36,27,5,10,7,22
"2471","2016-17",20161026,"PHI",97,29,60,7,24,18,25,5,38,21,5,13,10,22,"OKC",103,33,72,6,22,19,26,13,40,19,7,10,3,23
"2472","2016-17",20161026,"PHX",94,32,61,4,16,18,27,10,31,20,6,18,3,29,"SAC",113,38,65,6,21,19,26,10,31,24,5,13,5,20
"2473","2016-17",20161026,"TOR",109,38,68,3,18,24,29,14,37,17,8,11,0,22,"DET",91,31,62,4,22,17,22,8,32,17,8,13,0,24
"2474","2016-17",20161027,"ATL",114,32,62,12,26,14,18,14,38,28,13,21,7,19,"WAS",99,34,74,6,20,13,18,12,28,25,14,19,4,20
"2475","2016-17",20161027,"CHI",105,25,67,11,25,22,30,18,37,25,5,12,1,21,"BOS",99,30,53,8,23,15,24,3,33,22,6,11,6,25
"2476","2016-17",20161027,"POR",106,35,67,4,18,24,32,9,39,18,4,14,4,34,"LAC",114,29,62,8,29,32,46,15,33,12,10,7,4,25
"2477","2016-17",20161027,"SAC",94,22,50,6,20,32,38,6,34,22,7,15,0,21,"SAS",102,30,61,6,18,24,27,9,31,23,10,9,8,26
"2478","2016-17",20161028,"BKN",103,28,54,10,33,17,20,12,40,20,6,16,4,23,"IND",94,30,74,7,24,13,20,14,35,22,7,13,6,22
"2479","2016-17",20161028,"DAL",98,27,51,8,29,20,24,6,28,13,11,9,2,21,"HOU",106,18,38,15,32,25,31,5,36,21,6,18,1,22
"2480","2016-17",20161028,"DET",108,41,76,7,19,5,6,9,44,27,8,12,4,11,"ORL",82,25,69,8,26,8,12,14,30,20,8,9,3,13
"2481","2016-17",20161028,"MIA",91,18,52,14,34,13,20,11,41,19,2,19,4,23,"CHA",97,28,70,7,22,20,24,13,36,20,10,8,9,20
"2482","2016-17",20161028,"NOP",114,42,78,5,22,15,23,12,37,29,8,13,5,24,"GSW",122,35,63,9,28,25,28,9,40,32,8,14,2,22
"2483","2016-17",20161028,"OKC",113,35,75,5,21,28,38,14,43,13,11,22,3,24,"PHX",110,37,66,5,28,21,32,7,37,15,11,15,3,29
"2484","2016-17",20161028,"TOR",91,31,74,4,16,17,18,18,33,12,9,18,3,20,"CLE",94,21,47,12,32,16,22,9,31,20,8,17,3,15
"2485","2016-17",20161028,"UTA",96,25,50,6,25,28,40,13,34,14,4,14,7,18,"LAL",89,23,61,9,23,16,21,11,32,16,6,14,7,29
"2486","2016-17",20161029,"CHI",118,36,65,9,21,19,21,13,34,34,8,12,6,14,"IND",101,36,70,7,18,8,9,8,25,34,8,13,7,16
"2487","2016-17",20161029,"CHA",98,23,47,9,32,25,33,6,32,22,8,8,6,17,"BOS",104,24,50,15,31,11,17,4,38,25,4,13,6,26
"2488","2016-17",20161029,"CLE",105,25,51,11,37,22,30,13,27,17,8,9,6,27,"ORL",99,30,56,8,28,15,26,13,37,21,6,20,5,23
"2489","2016-17",20161029,"DEN",113,32,77,6,23,31,39,16,45,19,10,17,5,21,"POR",115,35,66,10,32,15,21,5,40,23,10,15,8,30
"2490","2016-17",20161029,"MIL",110,33,66,8,22,20,24,8,36,25,14,14,5,23,"BKN",108,26,50,11,34,23,28,11,34,23,12,18,6,22
"2491","2016-17",20161029,"NYK",111,34,55,6,21,25,39,6,35,24,4,12,4,25,"MEM",104,28,61,9,25,21,26,11,29,19,3,12,2,30
"2492","2016-17",20161029,"PHI",72,23,62,5,18,11,15,4,35,16,9,20,5,20,"ATL",104,37,65,5,20,15,23,6,41,31,11,12,7,14
"2493","2016-17",20161029,"SAC",106,30,59,9,26,19,25,11,20,24,6,13,5,24,"MIN",103,30,48,7,22,22,31,7,29,19,6,11,5,25
"2494","2016-17",20161029,"SAS",98,25,59,10,24,18,23,6,44,21,6,9,7,15,"NOP",79,28,64,4,22,11,15,7,38,14,6,9,5,19
"2495","2016-17",20161030,"DET",98,34,68,5,20,15,20,16,42,23,8,15,4,14,"MIL",83,30,70,4,17,11,14,10,30,22,10,12,4,16
"2496","2016-17",20161030,"HOU",93,23,50,11,31,14,21,9,38,16,5,17,4,21,"DAL",92,21,55,11,31,17,20,13,30,17,8,9,3,17
"2497","2016-17",20161030,"LAC",88,28,56,6,27,14,20,14,35,17,8,13,4,14,"UTA",75,22,54,7,19,10,13,7,36,18,8,18,2,22
"2498","2016-17",20161030,"MEM",112,24,57,15,31,19,26,11,36,24,9,14,2,26,"WAS",103,33,61,5,25,22,25,8,32,19,8,14,4,23
"2499","2016-17",20161030,"MIA",99,30,60,7,20,18,26,6,30,19,7,12,6,24,"SAS",106,27,64,10,18,22,26,14,30,20,4,15,5,26
"2500","2016-17",20161030,"OKC",113,36,69,9,26,14,17,10,35,29,15,19,6,22,"LAL",96,28,55,7,32,19,24,11,30,20,15,21,2,18
"2501","2016-17",20161030,"PHX",100,29,67,8,23,18,25,11,39,19,10,11,6,26,"GSW",106,27,54,8,29,28,33,7,36,27,6,15,5,23
"2502","2016-17",20161031,"ATL",106,22,49,11,30,29,47,17,26,24,11,13,6,20,"SAC",95,26,52,10,23,13,19,6,32,26,10,19,6,34
"2503","2016-17",20161031,"BKN",88,28,65,5,31,17,21,16,29,14,12,15,3,15,"CHI",118,34,62,11,27,17,18,13,45,26,9,19,9,22
"2504","2016-17",20161031,"LAC",116,34,64,6,16,30,38,5,39,21,8,16,4,23,"PHX",98,30,69,5,15,23,31,10,34,19,11,20,0,33
"2505","2016-17",20161031,"TOR",105,37,72,4,16,19,25,11,32,16,7,7,9,28,"DEN",102,24,59,9,22,27,35,11,35,14,2,8,9,18
"2506","2016-17",20161101,"CLE",128,27,51,16,32,26,31,12,34,22,4,11,2,21,"HOU",120,26,46,17,44,17,25,11,21,30,5,7,2,25
"2507","2016-17",20161101,"DET",102,33,76,8,13,12,21,10,38,19,7,10,5,16,"NYK",89,28,64,7,22,12,15,8,35,18,6,11,9,20
"2508","2016-17",20161101,"IND",115,31,59,10,28,23,29,11,32,19,10,15,8,20,"LAL",108,34,61,6,28,22,25,11,33,14,8,19,2,25
"2509","2016-17",20161101,"MIA",108,24,57,13,29,21,29,6,39,24,10,15,9,21,"SAC",96,29,66,5,23,23,27,9,44,12,4,15,4,23
"2510","2016-17",20161101,"MIN",116,31,58,12,20,18,23,10,40,29,10,21,5,22,"MEM",80,23,51,4,24,22,29,8,24,10,17,20,4,22
"2511","2016-17",20161101,"NOP",113,27,56,9,26,32,41,9,33,23,13,13,5,17,"MIL",117,34,59,10,32,19,21,11,38,30,9,15,5,25
"2512","2016-17",20161101,"PHI",101,31,61,9,20,12,16,7,35,28,5,15,8,20,"ORL",103,36,68,6,25,13,17,12,27,29,7,10,6,15
"2513","2016-17",20161101,"POR",104,23,47,14,39,16,21,6,26,23,12,18,4,17,"GSW",127,40,63,10,26,17,23,7,38,36,14,16,4,19
"2514","2016-17",20161101,"SAS",91,27,56,6,20,19,21,4,30,19,6,9,5,15,"UTA",106,23,45,15,31,15,18,2,37,22,5,10,8,20
"2515","2016-17",20161102,"ATL",116,30,53,11,32,23,29,10,27,30,10,18,1,19,"LAL",123,39,68,9,22,18,20,11,31,24,11,15,9,25
"2516","2016-17",20161102,"BOS",107,27,55,14,32,11,17,10,29,28,10,12,4,24,"CHI",100,28,61,7,20,23,31,15,34,21,7,19,7,19
"2517","2016-17",20161102,"BKN",109,28,49,13,27,14,17,5,40,27,10,19,3,23,"DET",101,28,63,9,25,18,21,10,28,21,11,13,6,18
"2518","2016-17",20161102,"CHA",109,26,45,13,34,18,26,9,35,25,8,15,3,17,"PHI",93,22,48,12,38,13,15,8,29,23,8,17,2,24
"2519","2016-17",20161102,"LAC",83,27,65,7,22,8,18,8,33,22,13,17,5,19,"OKC",85,29,64,5,20,12,20,10,42,14,8,21,4,24
"2520","2016-17",20161102,"MEM",89,25,67,8,27,15,20,13,39,20,12,17,5,22,"NOP",83,19,47,11,34,12,16,5,38,17,8,21,9,26
"2521","2016-17",20161102,"NYK",99,29,65,8,20,17,25,7,27,18,10,16,6,22,"HOU",118,27,49,15,40,19,27,19,35,25,12,19,8,21
"2522","2016-17",20161102,"PHX",118,39,87,5,16,25,30,14,45,15,10,12,5,20,"POR",115,30,68,12,33,19,21,10,43,25,8,14,8,23
"2523","2016-17",20161102,"UTA",97,23,52,12,25,15,26,7,34,18,6,12,3,21,"DAL",81,26,51,7,26,8,10,6,30,18,4,12,4,20
"2524","2016-17",20161102,"WAS",103,39,62,3,10,16,24,6,30,21,8,20,5,20,"TOR",113,33,52,10,25,17,25,4,27,21,16,13,2,24
"2525","2016-17",20161103,"CLE",128,27,50,14,34,32,37,7,35,24,6,8,6,19,"BOS",122,35,64,11,32,19,22,10,29,25,4,8,6,28
"2526","2016-17",20161103,"GSW",122,32,59,14,30,16,20,15,31,27,9,15,14,18,"OKC",96,25,60,10,27,16,28,13,28,20,8,16,6,20
"2527","2016-17",20161103,"MIL",125,35,55,12,27,19,24,12,29,32,10,21,6,23,"IND",107,28,58,10,23,21,27,10,22,29,14,21,4,23
"2528","2016-17",20161103,"MIN",99,26,66,9,22,20,25,14,29,20,8,16,4,22,"DEN",102,33,59,6,22,18,25,7,37,24,10,20,2,24
"2529","2016-17",20161103,"ORL",102,28,54,10,30,16,23,13,31,24,5,14,4,14,"SAC",94,31,62,7,18,11,17,11,28,17,8,14,1,23
"2530","2016-17",20161104,"BKN",95,26,51,9,36,16,21,7,39,20,12,15,4,22,"CHA",99,26,56,10,30,17,24,7,42,24,7,16,3,18
"2531","2016-17",20161104,"CHI",104,29,61,8,23,22,27,15,27,15,4,12,4,16,"NYK",117,37,68,9,21,16,21,11,29,32,7,5,2,23
"2532","2016-17",20161104,"DAL",95,24,55,10,28,17,20,7,37,18,5,12,3,21,"POR",105,24,49,12,31,21,26,7,35,21,9,14,3,20
"2533","2016-17",20161104,"LAL",117,37,65,8,30,19,21,16,35,26,9,16,5,19,"GSW",97,34,54,5,32,14,20,9,31,26,13,20,3,13
"2534","2016-17",20161104,"MEM",88,22,58,9,26,17,22,13,35,26,4,18,9,28,"LAC",99,24,58,8,27,27,33,11,36,19,17,11,6,23
"2535","2016-17",20161104,"NOP",111,33,64,10,30,15,28,6,37,28,7,8,13,21,"PHX",112,32,69,8,24,24,28,12,47,18,7,15,2,27
"2536","2016-17",20161104,"TOR",96,31,59,6,25,16,18,13,37,14,7,15,5,16,"MIA",87,25,60,9,28,10,15,12,31,19,10,13,5,22
"2537","2016-17",20161104,"UTA",86,19,54,11,26,15,24,9,33,15,7,12,4,19,"SAS",100,31,63,6,20,20,22,9,40,17,9,11,8,25
"2538","2016-17",20161104,"WAS",95,26,60,5,20,28,35,11,35,13,7,19,3,23,"ATL",92,27,58,5,25,23,36,10,37,22,12,18,3,24
"2539","2016-17",20161105,"ATL",112,37,65,8,20,14,24,13,31,29,17,19,6,13,"HOU",97,25,49,12,36,11,13,12,31,22,9,26,7,26
"2540","2016-17",20161105,"DET",103,33,64,7,20,16,22,9,38,22,9,13,9,16,"DEN",86,24,69,7,25,17,20,16,32,15,8,16,2,15
"2541","2016-17",20161105,"IND",111,34,60,12,26,7,12,8,28,27,8,11,9,20,"CHI",94,28,61,6,18,20,25,13,27,17,8,16,5,13
"2542","2016-17",20161105,"MIL",117,27,49,14,33,21,25,17,36,28,12,15,10,22,"SAC",91,23,56,10,28,15,19,13,23,27,8,14,3,19
"2543","2016-17",20161105,"OKC",112,38,70,7,16,15,24,11,30,24,9,12,9,21,"MIN",92,29,65,4,19,22,29,17,24,12,7,17,8,19
"2544","2016-17",20161105,"ORL",88,22,50,9,28,17,27,10,33,21,4,8,6,16,"WAS",86,28,69,6,17,12,17,14,35,11,4,10,5,23
"2545","2016-17",20161105,"PHI",101,26,49,14,38,7,12,5,40,21,9,17,9,23,"CLE",102,23,53,14,38,14,18,11,38,23,10,16,5,15
"2546","2016-17",20161105,"SAS",92,20,49,10,25,22,25,7,33,19,5,15,5,18,"LAC",116,38,68,9,23,13,14,7,34,24,8,8,6,19
"2547","2016-17",20161106,"BOS",107,33,65,8,25,17,21,11,28,31,3,11,4,24,"DEN",123,33,61,11,23,24,31,9,38,21,7,17,6,23
"2548","2016-17",20161106,"DAL",86,24,50,9,38,11,12,10,36,14,12,15,2,20,"MIL",75,24,53,6,29,9,12,9,42,14,11,27,2,26
"2549","2016-17",20161106,"LAL",119,31,67,10,23,27,35,15,38,22,8,19,5,22,"PHX",108,34,71,6,20,22,28,11,29,20,8,17,2,30
"2550","2016-17",20161106,"MEM",94,25,55,6,26,26,32,12,32,15,9,13,5,20,"POR",100,18,38,14,33,22,27,5,32,19,7,15,5,25
"2551","2016-17",20161106,"NYK",109,34,63,8,20,17,19,10,29,18,8,12,5,26,"UTA",114,30,50,8,25,30,35,7,27,21,6,10,4,19
"2552","2016-17",20161106,"TOR",91,23,54,7,30,24,31,13,30,22,6,6,5,26,"SAC",96,29,62,5,16,23,31,13,34,21,4,9,5,22
"2553","2016-17",20161107,"CHI",112,39,70,3,19,25,31,15,41,26,7,8,4,11,"ORL",80,24,55,9,30,5,6,6,33,28,6,14,6,23
"2554","2016-17",20161107,"CHA",122,29,52,12,32,28,32,3,40,30,12,11,4,15,"IND",100,31,61,9,33,11,15,12,40,23,8,18,4,25
"2555","2016-17",20161107,"GSW",116,29,55,16,35,10,12,10,28,35,14,15,4,17,"NOP",106,32,59,7,21,21,27,11,32,26,8,19,1,16
"2556","2016-17",20161107,"LAC",114,28,51,13,25,19,22,2,44,28,8,10,7,20,"DET",82,26,70,4,12,18,26,11,28,14,5,11,2,19
"2557","2016-17",20161107,"OKC",97,28,57,9,28,14,17,10,37,24,8,16,5,18,"MIA",85,27,67,4,17,19,22,12,29,12,8,12,7,16
"2558","2016-17",20161107,"PHI",84,24,56,7,21,15,22,9,33,16,5,18,2,19,"UTA",109,32,66,11,19,12,20,10,35,20,10,10,11,22
"2559","2016-17",20161107,"WAS",106,29,67,10,27,18,20,16,29,20,12,13,5,16,"HOU",114,24,42,17,37,15,18,6,31,28,6,18,7,18
"2560","2016-17",20161108,"BKN",119,30,43,12,33,23,26,5,38,20,5,20,5,19,"MIN",110,27,64,12,28,20,28,15,26,20,11,16,3,21
"2561","2016-17",20161108,"CLE",106,26,57,11,42,21,25,13,26,21,12,6,1,20,"ATL",110,30,52,11,29,17,24,11,39,22,1,19,4,21
"2562","2016-17",20161108,"LAL",97,28,52,10,26,11,14,8,29,20,6,16,1,19,"DAL",109,33,59,10,23,13,15,8,29,24,11,11,4,12
"2563","2016-17",20161108,"MEM",108,37,62,7,24,13,19,8,24,29,14,14,5,30,"DEN",107,25,46,10,24,27,34,6,33,24,6,22,4,23
"2564","2016-17",20161108,"POR",124,31,50,14,31,20,28,7,28,22,5,20,4,27,"PHX",121,36,65,7,21,28,33,15,26,18,10,16,2,27
"2565","2016-17",20161108,"SAC",102,31,56,8,25,16,20,5,34,24,7,10,5,21,"NOP",94,33,63,5,21,13,18,7,33,23,5,10,9,23
"2566","2016-17",20161109,"ATL",115,33,63,9,20,22,27,13,35,24,8,21,7,20,"CHI",107,32,64,9,27,16,21,8,23,24,14,13,3,21
"2567","2016-17",20161109,"CHA",104,30,56,8,26,20,29,5,32,24,8,8,3,19,"UTA",98,30,48,8,34,14,18,10,36,24,5,12,6,22
"2568","2016-17",20161109,"GSW",116,26,41,17,33,13,22,5,34,33,3,15,5,22,"DAL",95,28,58,6,28,21,28,13,29,20,10,7,2,20
"2569","2016-17",20161109,"IND",122,40,71,9,19,15,20,7,36,25,9,16,6,17,"PHI",115,32,59,14,36,9,19,10,33,23,11,17,6,21
"2570","2016-17",20161109,"LAC",111,27,55,11,32,24,33,14,41,24,9,7,7,15,"POR",80,25,58,6,30,12,14,11,36,16,4,14,3,23
"2571","2016-17",20161109,"NYK",110,34,62,10,30,12,17,9,41,25,11,14,5,21,"BKN",96,22,46,11,33,19,27,7,33,19,9,18,4,20
"2572","2016-17",20161109,"OKC",102,19,40,12,34,28,31,11,28,18,6,19,5,21,"TOR",112,32,57,11,26,15,22,7,28,25,10,11,6,24
"2573","2016-17",20161109,"ORL",107,30,61,8,24,23,30,12,27,20,2,9,5,19,"MIN",123,32,64,13,23,20,26,10,35,27,8,6,5,23
"2574","2016-17",20161109,"PHX",107,30,62,8,22,23,30,10,39,20,7,17,6,20,"DET",100,23,67,9,22,27,32,9,32,20,11,11,5,24
"2575","2016-17",20161109,"SAS",99,26,61,7,23,26,30,10,29,22,14,10,5,15,"HOU",101,27,48,10,30,17,22,8,37,25,7,19,4,24
"2576","2016-17",20161109,"WAS",118,36,71,10,21,16,20,19,35,29,9,11,7,26,"BOS",93,25,50,10,31,13,22,7,24,21,5,11,4,19
"2577","2016-17",20161110,"DEN",101,25,58,13,36,12,17,17,27,26,7,18,3,18,"GSW",125,32,55,14,30,19,20,9,35,33,15,15,6,18
"2578","2016-17",20161110,"MIA",95,23,59,13,29,10,15,14,32,22,8,13,5,19,"CHI",98,31,73,6,16,18,20,12,36,18,7,10,2,12
"2579","2016-17",20161110,"MIL",106,34,73,6,18,20,25,11,37,23,4,11,5,20,"NOP",112,30,64,9,25,25,27,11,36,22,9,10,7,19
"2580","2016-17",20161110,"SAC",91,26,64,8,21,15,20,11,32,18,13,15,3,19,"LAL",101,29,47,9,27,16,22,4,38,18,8,21,2,19
"2581","2016-17",20161111,"BOS",115,24,63,11,27,34,43,19,34,23,16,15,3,18,"NYK",87,27,71,6,23,15,17,21,36,19,7,25,11,26
"2582","2016-17",20161111,"CHA",111,21,52,17,41,18,24,18,39,22,1,11,4,16,"TOR",113,37,68,6,22,21,22,8,37,18,8,5,5,21
"2583","2016-17",20161111,"OKC",108,22,60,16,28,16,19,9,36,21,3,16,1,27,"LAC",110,28,59,11,27,21,35,11,34,18,9,10,3,20
"2584","2016-17",20161111,"ORL",74,18,58,8,20,14,19,8,35,13,11,12,6,18,"UTA",87,26,53,7,28,14,16,12,40,19,9,15,7,18
"2585","2016-17",20161111,"PHI",109,25,54,11,32,26,31,13,41,24,7,19,6,21,"IND",105,34,69,5,19,22,23,4,36,23,14,13,3,28
"2586","2016-17",20161111,"POR",122,32,53,13,33,19,27,7,29,29,8,11,4,24,"SAC",120,37,67,6,21,28,35,13,35,18,7,15,3,21
"2587","2016-17",20161111,"SAS",96,27,61,9,20,15,19,10,35,24,8,8,2,13,"DET",86,27,51,5,25,17,21,9,33,14,2,11,4,14
"2588","2016-17",20161111,"WAS",94,35,72,3,15,15,19,10,36,16,7,15,5,21,"CLE",105,22,53,14,33,19,26,13,34,16,9,15,6,21
"2589","2016-17",20161112,"ATL",117,35,63,13,32,8,14,15,37,31,10,16,6,14,"PHI",96,25,54,11,29,13,20,10,29,21,14,19,4,20
"2590","2016-17",20161112,"CHI",106,34,82,5,15,23,25,15,37,21,7,10,6,20,"WAS",95,34,78,4,13,15,18,13,36,19,3,12,7,22
"2591","2016-17",20161112,"DEN",95,27,59,9,25,14,19,14,28,15,6,15,4,14,"DET",106,42,72,4,18,10,14,11,26,23,11,9,1,16
"2592","2016-17",20161112,"HOU",100,19,42,15,47,17,21,16,30,22,6,14,4,19,"SAS",106,36,58,5,18,19,24,2,33,21,6,10,11,19
"2593","2016-17",20161112,"IND",99,30,59,6,27,21,28,11,29,17,9,13,9,22,"BOS",105,27,55,8,25,27,33,15,32,22,7,13,7,21
"2594","2016-17",20161112,"MIA",91,33,64,5,17,10,19,4,35,21,5,8,4,17,"UTA",102,34,61,6,20,16,19,6,39,12,5,9,4,19
"2595","2016-17",20161112,"MIL",106,29,50,7,18,27,36,5,30,20,9,12,5,20,"MEM",96,29,48,6,30,20,21,3,29,20,8,13,4,26
